myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.876,0.9722721818905318,0.752,1.4026922552077625,0.885,0.298,0,Syt9
0.875,1.2565411807454545,0.75,1.8128057301342302,0.923,0.603,0,Kctd8
0.874,1.1159812039258554,0.748,1.6100205486291266,0.923,0.496,0,Kcnj3
0.873,0.9884921257572952,0.746,1.4260926877878397,1,0.63,0,Stxbp5l
0.873,1.0566960425682148,0.746,1.524490140340156,0.923,0.511,0,Cers6
0.872,0.8027575963671012,0.744,1.1581344033147603,1,0.779,0,Atp2b2
0.872,0.8933909542095575,0.744,1.2888906992131877,0.962,0.599,0,1700025G04Rik
0.871,0.9925821110088204,0.742,1.4319932892275238,0.962,0.679,0,Spock1
0.869,1.2116356770715053,0.738,1.748020782675202,0.846,0.24,0,Sidt1
0.869,1.3261772188037178,0.738,1.913269296908041,0.885,0.45,0,Plcxd3
0.867,1.0986122886681098,0.734,1.584962500721156,0.846,0.324,0,Galnt7
0.867,1.122688191055009,0.734,1.6196966856996626,0.846,0.29,0,Mical2
0.866,0.8583352146228023,0.732,1.2383159575566813,1,0.687,0,Tspan5
0.863,1.2051631625658876,0.726,1.7386829180958658,0.846,0.405,0,Kcnk10
0.862,1.3543044619454658,0.724,1.9538483311025192,0.846,0.317,0,Sv2b
0.862,1.0595105195085674,0.724,1.5285505722646993,1,0.775,0,Gpr158
0.861,0.8714110908317416,0.722,1.2571804593185958,1,0.786,0,Dock9
0.86,0.7539575228439022,0.72,1.087730779247825,1,0.866,0,Snap25
0.859,0.988067587436336,0.718,1.4254802084575244,0.923,0.462,0,Zfp521
0.859,0.913007443722227,0.718,1.3171913113527662,0.962,0.656,0,Cux1
0.856,0.856333416944745,0.712,1.2354279739736844,1,0.851,0,Ext1
0.856,0.7585161232578361,0.712,1.0943074494584022,1,0.931,0,Negr1
0.855,0.9628353921639317,0.71,1.3890778454672843,0.846,0.214,0,Etv1
0.853,0.8991668256372685,0.706,1.2972235202787585,0.962,0.809,0,Dock4
0.851,1.0487766693524625,0.702,1.5130648998748417,0.923,0.756,0,Arhgap26
0.851,0.7871223739926463,0.702,1.1355775455319388,0.923,0.431,0,Kcnc3
0.848,0.8314302357225785,0.696,1.1995002779221062,1,0.855,0,Nedd4l
0.848,1.4274531882936419,0.696,2.059379635852377,0.808,0.355,0,Ece1
0.847,0.8203552039552973,0.694,1.1835223845137617,1,0.966,0,Pde4d
0.847,0.9850915881107254,0.694,1.4211867489887764,1,0.725,0,Tmtc2
0.847,0.8806502192480838,0.694,1.2705097040669888,1,0.859,0,Hivep2
0.846,0.9092319927943645,0.692,1.311744487022019,0.846,0.29,0,Map3k5
0.846,0.8371581404021735,0.692,1.2077638975980427,0.962,0.813,0,Srgap2
0.845,1.044758442705024,0.69,1.5072678242174145,0.885,0.492,0,Cadm3
0.844,0.8916348133645569,0.688,1.2863571235250029,1,0.676,0,Trpm3
0.844,0.8031720659670842,0.688,1.1587323565512566,1,0.859,0,Nrxn3
0.842,1.0092671883322597,0.6839999999999999,1.4560647675388987,0.808,0.317,0,Ppargc1b
0.842,1.2900457313211562,0.6839999999999999,1.8611425790970084,0.846,0.473,0,Lin7a
0.841,0.9443209074441579,0.6819999999999999,1.3623670901774525,0.962,0.729,0,Amph
0.841,1.009856948254992,0.6819999999999999,1.4569156112547395,0.731,0.065,0,Grin2c
